pmid,pmcid,nihmsid,nctid,pub_title,authors,authors_lnames,authors_initials,authors_affil,pub_date,journal_short,journal_full,pubmed_tags,pmc_status
28792802,5600516,896804,,Utility of BI-RADS Assessment Category 4 Subdivisions for Screening Breast MRI.,"Roberta M Strigel, Elizabeth S Burnside, Mai Elezaby, Amy M Fowler, Frederick Kelcz, Lonie R Salkowski, Wendy B DeMartini","Strigel, Burnside, Elezaby, Fowler, Kelcz, Salkowski, DeMartini","RM, ES, M, AM, F, LR, WB","1 Department of Radiology, University of Wisconsin, 600 Highland Ave, Madison, WI 53792-3252., 1 Department of Radiology, University of Wisconsin, 600 Highland Ave, Madison, WI 53792-3252., 1 Department of Radiology, University of Wisconsin, 600 Highland Ave, Madison, WI 53792-3252., 1 Department of Radiology, University of Wisconsin, 600 Highland Ave, Madison, WI 53792-3252., 1 Department of Radiology, University of Wisconsin, 600 Highland Ave, Madison, WI 53792-3252., 1 Department of Radiology, University of Wisconsin, 600 Highland Ave, Madison, WI 53792-3252., 1 Department of Radiology, University of Wisconsin, 600 Highland Ave, Madison, WI 53792-3252.",2017-06-01,AJR Am J Roentgenol,AJR. American journal of roentgenology,UL1 TR000427,1
23397865,3572847,436579,,Diffusion tensor MRI of spinal decompression sickness.,"Elizabeth B Hutchinson, Aleksey S Sobakin, Mary E Meyerand, Marlowe Eldridge, Peter Ferrazzano","Hutchinson, Sobakin, Meyerand, Eldridge, Ferrazzano","EB, AS, ME, M, P","Department of Neurology, University of Wisconsin, UW Medical Foundation Centennial Building, Madison, Wisconsin, USA., , , , ",2013-01-01,Undersea Hyperb Med,"Undersea &amp; hyperbaric medicine : journal of the Undersea and Hyperbaric Medical Society, Inc","UL1 RR025011, UL1 TR000427, 9U54TR000021",1
24187656,3811153,520617,,Evaluation of the modified asthma predictive index in high-risk preschool children.,"Timothy S Chang, Robert F Lemanske, Theresa W Guilbert, James E Gern, Michael H Coen, Michael D Evans, Ronald E Gangnon, C David Page, Daniel J Jackson","Chang, Lemanske, Guilbert, Gern, Coen, Evans, Gangnon, David Page, Jackson","TS, RF, TW, JE, MH, MD, RE, C, DJ",", , , , , , , , ",2013-03-01,J Allergy Clin Immunol Pract,The journal of allergy and clinical immunology. In practice,"UL1 TR000427, UL1 RR025011, 1UL1RR025011, 9U54TR000021",1
29438772,6086763,951153,,Lumen area change (Delta Lumen) between inspiratory and expiratory multidetector computed tomography as a measure of severe outcomes in asthmatic patients.,"Sung Shine Shim, Mark L Schiebler, Michael D Evans, Nizar Jarjour, Ron L Sorkness, Loren C Denlinger, Alfonso Rodriguez, Sally Wenzel, Eric A Hoffman, Ching-Long Lin, David S Gierada, Mario Castro, Sean B Fain, Unknown Unknown","Shim, Schiebler, Evans, Jarjour, Sorkness, Denlinger, Rodriguez, Wenzel, Hoffman, Lin, Gierada, Castro, Fain, Unknown","SS, ML, MD, N, RL, LC, A, S, EA, CL, DS, M, SB, Unknown","Department of Radiology, Mokdong Hospital, Ewha Womans University School of Medicine, Seoul, Korea., Department of Radiology, University of Wisconsin, Madison, Wis., Department of Biostatistics and Medical Informatics, University of Wisconsin, Madison, Wis., Department of Medicine, University of Wisconsin, Madison, Wis., School of Pharmacy, University of Wisconsin, Madison, Wis., Department of Medicine, University of Wisconsin, Madison, Wis., Department of Medical Physics, University of Wisconsin, Madison, Wis., Department of Medicine, University of Pittsburgh, Pittsburgh, Pa., Departments of Radiology, Biomedical Engineering, Mechanical and Industrial Engineering, and Medicine, University of Iowa, Iowa City, Iowa., Departments of Radiology, Biomedical Engineering, Mechanical and Industrial Engineering, and Medicine, University of Iowa, Iowa City, Iowa., Department of Radiology, Washington University, St Louis, Mo., Department of Medicine, Washington University, St Louis, Mo; Department of Radiology, Washington University, St Louis, Mo., Department of Radiology, University of Wisconsin, Madison, Wis; Department of Medical Physics, University of Wisconsin, Madison, Wis; Department of Biomedical Engineering, University of Wisconsin, Madison, Wis. Electronic address: sfain@wisc.edu., ",2018-12-01,J. Allergy Clin. Immunol.,The Journal of allergy and clinical immunology,UL1 TR000427,1
25590232,4429888,681190,,NK cell-based immunotherapies in Pediatric Oncology.,"Kimberly A McDowell, Jacquelyn A Hank, Kenneth B DeSantes, Christian M Capitini, Mario Otto, Paul M Sondel","McDowell, Hank, DeSantes, Capitini, Otto, Sondel","KA, JA, KB, CM, M, PM","Department of Pediatrics, Division of Pediatric Hematology, Oncology and Bone Marrow Transplant, The University of Wisconsin, Madison, WI., , , , , ",2015-03-01,J. Pediatr. Hematol. Oncol.,Journal of pediatric hematology/oncology,UL1 TR000427,1
30610655,6609493,1012006,,"Impact of Survivorship Care Plans and Planning on Breast, Colon, and Prostate Cancer Survivors in a Community Oncology Practice.","Alexandra Hua, Mary E Sesto, Xiao Zhang, Timothy R Wassenaar, Amye J Tevaarwerk","Hua, Sesto, Zhang, Wassenaar, Tevaarwerk","A, ME, X, TR, AJ","University of Wisconsin, School of Medicine &amp; Public Health, Madison, USA., University of Wisconsin, School of Medicine &amp; Public Health, Madison, USA., Carbone Cancer Center, Madison, WI, USA., ProHealth Care, Waukesha, WI, USA., University of Wisconsin, School of Medicine &amp; Public Health, Madison, USA. at4@medicine.wisc.edu.",2019-01-04,J Cancer Educ,Journal of cancer education : the official journal of the American Association for Cancer Education,"UL1 TR000427, KL2 TR000428, UL1TR000427, UL1 TR002373",1
24848819,4212897,636516,,CT Colonography Reporting and Data System (C-RADS): benchmark values from a clinical screening program.,"B Dustin Pooler, David H Kim, Vu P Lam, Elizabeth S Burnside, Perry J Pickhardt","Pooler, Kim, Lam, Burnside, Pickhardt","BD, DH, VP, ES, PJ","1 All authors: Department of Radiology, University of Wisconsin School of Medicine and Public Health, E3/311 Clinical Science Center, 600 Highland Ave, Madison, WI 53792-3252., , , , ",2014-06-01,AJR Am J Roentgenol,AJR. American journal of roentgenology,UL1 TR000427,1
23324837,3624604,454700,,Surgeon-reported conflict with intensivists about postoperative goals of care.,"Terrah J Paul Olson, Karen J Brasel, Andrew J Redmann, G Caleb Alexander, Margaret L Schwarze","Paul Olson, Brasel, Redmann, Alexander, Schwarze","TJ, KJ, AJ, GC, ML","Department of Surgery, University of Wisconsin Hospital and Clinics, Madison, WI, USA., , , , ",2013-01-01,JAMA Surg,JAMA surgery,UL1 TR000427,1
28193558,6230689,979981,,Allergic disease associations with regional and localized estimates of air pollution.,"Amy A Schultz, Jamie J Schauer, Kristen Mc Malecki","Schultz, Schauer, Malecki","AA, JJ, KM","Department of Population Health Sciences, University of Wisconsin, Madison, Wisconsin, USA., Department of Civil and Environmental Engineering, University of Wisconsin, Madison, Wisconsin, USA., Department of Population Health Sciences, University of Wisconsin, Madison, Wisconsin, USA. Electronic address: kmalecki@wisc.edu.",2017-05-01,Environ. Res.,Environmental research,UL1 RR025011,1
19946787,2883014,158365,,Positron emission tomography imaging of prostate cancer.,"Hao Hong, Yin Zhang, Jiangtao Sun, Weibo Cai","Hong, Zhang, Sun, Cai","H, Y, J, W","Department of Radiology, School of Medicine and Public Health, University of Wisconsin-Madison, 1111 Highland Avenue, Madison, WI 53705-2275, USA., , , ",2010-06-01,Amino Acids,Amino acids,"UL1 RR025011, UL1 RR025011-01, 1UL1RR025011",1
30988330,6465359,,,Heritability and genome-wide association study of benign prostatic hyperplasia (BPH) in the eMERGE network.,"Jacklyn N Hellwege, Sarah Stallings, Eric S Torstenson, Robert Carroll, Kenneth M Borthwick, Murray H Brilliant, David Crosslin, Adam Gordon, George Hripcsak, Gail P Jarvik, James G Linneman, Parimala Devi, Peggy L Peissig, Patrick A M Sleiman, Hakon Hakonarson, Marylyn D Ritchie, Shefali Setia Verma, Ning Shang, Josh C Denny, Dan M Roden, Digna R Velez Edwards, Todd L Edwards","Hellwege, Stallings, Torstenson, Carroll, Borthwick, Brilliant, Crosslin, Gordon, Hripcsak, Jarvik, Linneman, Devi, Peissig, Sleiman, Hakonarson, Ritchie, Verma, Shang, Denny, Roden, Velez Edwards, Edwards","JN, S, ES, R, KM, MH, D, A, G, GP, JG, P, PL, PAM, H, MD, SS, N, JC, DM, DR, TL","Division of Epidemiology, Department of Medicine, Vanderbilt University Medical Center, Nashville, TN, USA., Division of Geriatric Medicine, Meharry-Vanderbilt Alliance, Nashville, TN, USA., Division of Epidemiology, Department of Medicine, Vanderbilt University Medical Center, Nashville, TN, USA., Department of Biomedical Informatics Vanderbilt University, Nashville, TN, USA., Hood Center for Health Research, Geisinger Health System, Danville, PA, USA., Center for Human Genetics, Marshfield Clinic Research Institute, Marshfield, WI, USA., Department of Biomedical Informatics and Medical Education, School of Medicine, University of Washington, Seattle, WA, USA., Division of Medical Genetics, University of Washington, Seattle, WA, USA., Department of Biomedical Informatics, Columbia University, New York, NY, USA., Departments of Medicine (Medical Genetics) and Genome Sciences, University of Washington, Seattle, WA, USA., Office of Research Computing and Analytics/Marshfield Clinic Research Institute, Marshfield, WI, USA., Department of Biomedical Informatics and Medical Education, School of Medicine, University of Washington, Seattle, WA, USA., Center for Computational and Biomedical Informatics, Marshfield Clinic Research Institute, Marshfield, WI, USA., Center for Applied Genomics, The Children's Hospital of Philadelphia, Philadelphia, PA, USA., Center for Applied Genomics, The Children's Hospital of Philadelphia, Philadelphia, PA, USA., Department of Genetics, University of Pennsylvania, Philadelphia, PA, USA., Department of Genetics, University of Pennsylvania, Philadelphia, PA, USA., Department of Biomedical Informatics, Columbia University, New York, NY, USA., Department of Biomedical Informatics Vanderbilt University, Nashville, TN, USA., Department of Biomedical Informatics Vanderbilt University, Nashville, TN, USA., Vanderbilt Genetics Institute, Vanderbilt University Medical Center, Nashville, TN, USA. digna.r.velez.edwards@vumc.org., Division of Epidemiology, Department of Medicine, Vanderbilt University Medical Center, Nashville, TN, USA. todd.l.edwards@vumc.org.",2019-04-15,Sci Rep,Scientific reports,"UL1TR002373, UL1 TR002373",1
24965898,4545636,716013,,Automated volumetric analysis for comparison of oral sulfate solution (SUPREP) with established cathartic agents at CT colonography.,"Peter Bannas, Joshua Bakke, James L Patrick, Perry J Pickhardt","Bannas, Bakke, Patrick, Pickhardt","P, J, JL, PJ","Department of Radiology, University of Wisconsin School of Medicine &amp; Public Health, E3/311 Clinical Science Center, 600 Highland Ave., Madison, WI, 53792-3252, USA, pbannas@uwhealth.org., , , ",2015-01-01,Abdom Imaging,Abdominal imaging,UL1 TR000427,1
24717311,4146414,,,"Upregulation of NHE1 protein expression enables glioblastoma cells to escape TMZ-mediated toxicity via increased H? extrusion, cell migration and survival.","Damin Cong, Wen Zhu, Yejie Shi, Kelli B Pointer, Paul A Clark, Hongmei Shen, John S Kuo, Shaoshan Hu, Dandan Sun","Cong, Zhu, Shi, Pointer, Clark, Shen, Kuo, Hu, Sun","D, W, Y, KB, PA, H, JS, S, D","Department of Neurological Surgery, The Second Affiliated Hospital of the Harbin Medical University, Harbin 150086, China, Department of Neurology, University of Pittsburgh, Pittsburgh, PA 15213, USA., Department of Neurology, University of Pittsburgh, Pittsburgh, PA 15213, USA., Department of Neurology, University of Pittsburgh, Pittsburgh, PA 15213, USA., Department of Neurological Surgery, University of Wisconsin, Madison, WI 53705, USA., Department of Neurological Surgery, University of Wisconsin, Madison, WI 53705, USA., Department of Surgery, University of Pittsburgh, Pittsburgh, PA 15213, USA., Department of Neurological Surgery, University of Wisconsin, Madison, WI 53705, USA, Carbone Cancer Center, University of Wisconsin, Madison, WI 53705, USA and, Pittsburgh, PA 15213, USA and., Department of Neurological Surgery, The Second Affiliated Hospital of the Harbin Medical University, Harbin 150086, China., Department of Neurological Surgery, The Second Affiliated Hospital of the Harbin Medical University, Harbin 150086, China, Department of Neurology, University of Pittsburgh, Pittsburgh, PA 15213, USA, Veterans Affairs Pittsburgh Health Care System, Geriatric Research, Educational and Clinical Center, Pittsburgh, PA, 15213, USA sund@upmc.edu.",2014-09-01,Carcinogenesis,Carcinogenesis,"UL1 TR000427, UL1 RR025011",1
24585403,4308740,656036,,Quantification of liver iron with MRI: state of the art and remaining challenges.,"Diego Hernando, Yakir S Levin, Claude B Sirlin, Scott B Reeder","Hernando, Levin, Sirlin, Reeder","D, YS, CB, SB","Department of Radiology, University of Wisconsin - Madison, Madison, Wisconsin, USA., , , ",2014-11-01,J Magn Reson Imaging,Journal of magnetic resonance imaging : JMRI,UL1 TR000427,1
19780923,2794129,110269,,Physician assistants and nurse practitioners as a usual source of care.,"Christine M Everett, Jessica R Schumacher, Alexandra Wright, Maureen A Smith","Everett, Schumacher, Wright, Smith","CM, JR, A, MA","Department of Population Health Sciences, University of Wisconsin School of Medicine and Public Health, Madison, WI 53726, USA. cmeverett@wisc.edu, , , ",2009-01-01,J Rural Health,The Journal of rural health : official journal of the American Rural Health Association and the National Rural Health Care Association,"UL1 RR025011, 1UL1RR025011",1
29757073,6390644,,,Breast Cancer Screening in Primary Care: A Call for Development and Validation of Patient-Oriented Shared Decision-Making Tools.,"Sarina Schrager, Elizabeth Burnside","Schrager, Burnside","S, E","1 Department of Family Medicine and Community Health, University of Wisconsin , Madison, Wisconsin., 2 Department of Radiology, University of Wisconsin , Madison, Wisconsin.",2019-02-01,J Womens Health (Larchmt),Journal of women's health (2002),UL1 TR000427,1
26860667,4751592,753708,,Contrast enhanced pulmonary magnetic resonance angiography for pulmonary embolism: Building a successful program.,"Scott K Nagle, Mark L Schiebler, Michael D Repplinger, Christopher J François, Karl K Vigen, Rajkumar Yarlagadda, Thomas M Grist, Scott B Reeder","Nagle, Schiebler, Repplinger, François, Vigen, Yarlagadda, Grist, Reeder","SK, ML, MD, CJ, KK, R, TM, SB","Department of Radiology, University of Wisconsin-Madison, Madison, WI, United States; Department of Medical Physics, University of Wisconsin-Madison, Madison, WI, United States; Department of Pediatrics, University of Wisconsin-Madison, Madison, WI, United States. Electronic address: snagle@uwhealth.org., Department of Radiology, University of Wisconsin-Madison, Madison, WI, United States., Department of Radiology, University of Wisconsin-Madison, Madison, WI, United States; Department of Emergency Medicine, University of Wisconsin-Madison, Madison, WI, United States., Department of Radiology, University of Wisconsin-Madison, Madison, WI, United States., Department of Radiology, University of Wisconsin-Madison, Madison, WI, United States., Department of Radiology, University of Wisconsin-Madison, Madison, WI, United States; Diagnostic Radiology, P.C., Omaha, NE, United States., Department of Radiology, University of Wisconsin-Madison, Madison, WI, United States; Department of Medical Physics, University of Wisconsin-Madison, Madison, WI, United States; Department of Biomedical Engineering, University of Wisconsin-Madison, Madison, WI, United States., Department of Radiology, University of Wisconsin-Madison, Madison, WI, United States; Department of Medical Physics, University of Wisconsin-Madison, Madison, WI, United States; Department of Emergency Medicine, University of Wisconsin-Madison, Madison, WI, United States; Department of Medicine, University of Wisconsin-Madison, Madison, WI, United States; Department of Biomedical Engineering, University of Wisconsin-Madison, Madison, WI, United States.",2016-03-01,Eur J Radiol,European journal of radiology,"UL1 TR000427, UL1TR000427, KL2 TR000428, KL2TR000428",1
27079723,5066305,819550,,Insulin Resistance is Associated with Increased Levels of Cerebrospinal Fluid Biomarkers of Alzheimer's Disease and Reduced Memory Function in At-Risk Healthy Middle-Aged Adults.,"Siobhan M Hoscheidt, Erika J Starks, Jennifer M Oh, Henrik Zetterberg, Kaj Blennow, Rachel A Krause, Carey E Gleason, Luigi Puglielli, Craig S Atwood, Cynthia M Carlsson, Sanjay Asthana, Sterling C Johnson, Barbara B Bendlin","Hoscheidt, Starks, Oh, Zetterberg, Blennow, Krause, Gleason, Puglielli, Atwood, Carlsson, Asthana, Johnson, Bendlin","SM, EJ, JM, H, K, RA, CE, L, CS, CM, S, SC, BB","Wisconsin Alzheimer's Disease Research Center, University of Wisconsin School of Medicine and Public Health, Madison, WI, USA., Wisconsin Alzheimer's Disease Research Center, University of Wisconsin School of Medicine and Public Health, Madison, WI, USA., Wisconsin Alzheimer's Disease Research Center, University of Wisconsin School of Medicine and Public Health, Madison, WI, USA., Clinical Neurochemistry Laboratory, Department of Psychiatry and Neurochemistry, Institute of Neuroscience and Physiology, The Sahlgrenska Academy at the University of Gothenburg, Gothenburg, Sweden., Clinical Neurochemistry Laboratory, Department of Psychiatry and Neurochemistry, Institute of Neuroscience and Physiology, The Sahlgrenska Academy at the University of Gothenburg, Gothenburg, Sweden., Wisconsin Alzheimer's Disease Research Center, University of Wisconsin School of Medicine and Public Health, Madison, WI, USA., Geriatric Research Education and Clinical Center, Wm. S. Middleton Veterans Hospital, Madison, WI, USA., Wisconsin Alzheimer's Disease Research Center, University of Wisconsin School of Medicine and Public Health, Madison, WI, USA., Geriatric Research Education and Clinical Center, Wm. S. Middleton Veterans Hospital, Madison, WI, USA., Geriatric Research Education and Clinical Center, Wm. S. Middleton Veterans Hospital, Madison, WI, USA., Geriatric Research Education and Clinical Center, Wm. S. Middleton Veterans Hospital, Madison, WI, USA., Geriatric Research Education and Clinical Center, Wm. S. Middleton Veterans Hospital, Madison, WI, USA., Wisconsin Alzheimer's Disease Research Center, University of Wisconsin School of Medicine and Public Health, Madison, WI, USA.",2016-04-12,J. Alzheimers Dis.,Journal of Alzheimer's disease : JAD,"UL1 TR000427, UL1 RR025011",1
26374849,4751235,,NCT00094302,Influence of ejection fraction on outcomes and efficacy of spironolactone in patients with heart failure with preserved ejection fraction.,"Scott D Solomon, Brian Claggett, Eldrin F Lewis, Akshay Desai, Inder Anand, Nancy K Sweitzer, Eileen O'Meara, Sanjiv J Shah, Sonja McKinlay, Jerome L Fleg, George Sopko, Bertram Pitt, Marc A Pfeffer, Unknown Unknown","Solomon, Claggett, Lewis, Desai, Anand, Sweitzer, O'Meara, Shah, McKinlay, Fleg, Sopko, Pitt, Pfeffer, Unknown","SD, B, EF, A, I, NK, E, SJ, S, JL, G, B, MA, Unknown","Cardiovascular Division, Brigham and Women's Hospital, 75 Francis St, Boston, MA 02115, USA ssolomon@rics.bwh.harvard.edu., Cardiovascular Division, Brigham and Women's Hospital, 75 Francis St, Boston, MA 02115, USA., Cardiovascular Division, Brigham and Women's Hospital, 75 Francis St, Boston, MA 02115, USA., Cardiovascular Division, Brigham and Women's Hospital, 75 Francis St, Boston, MA 02115, USA., Minneapolis VA Hospital, Minneapolis, MN, USA., University of Arizona, Tuscon, AZ, USA., Montreal Heart Institute, Montreal, Canada., Northwestern University Feinberg School of Medicine, Chicago, IL, USA., New England Research Institute, Watertown, MA, USA., National Heart, Lung and Blood Institute, Bethesda, MD, USA., National Heart, Lung and Blood Institute, Bethesda, MD, USA., University of Michigan, Ann Arbor, MI, USA., Cardiovascular Division, Brigham and Women's Hospital, 75 Francis St, Boston, MA 02115, USA., ",2016-02-01,Eur. Heart J.,European heart journal,UL1 TR000427,1
26195183,4651838,709879,,A Robust e-Epidemiology Tool in Phenotyping Heart Failure with Differentiation for Preserved and Reduced Ejection Fraction: the Electronic Medical Records and Genomics (eMERGE) Network.,"Suzette J Bielinski, Jyotishman Pathak, David S Carrell, Paul Y Takahashi, Janet E Olson, Nicholas B Larson, Hongfang Liu, Sunghwan Sohn, Quinn S Wells, Joshua C Denny, Laura J Rasmussen-Torvik, Jennifer Allen Pacheco, Kathryn L Jackson, Timothy G Lesnick, Rachel E Gullerud, Paul A Decker, Naveen L Pereira, Euijung Ryu, Richard A Dart, Peggy Peissig, James G Linneman, Gail P Jarvik, Eric B Larson, Jonathan A Bock, Gerard C Tromp, Mariza de Andrade, Véronique L Roger","Bielinski, Pathak, Carrell, Takahashi, Olson, Larson, Liu, Sohn, Wells, Denny, Rasmussen-Torvik, Pacheco, Jackson, Lesnick, Gullerud, Decker, Pereira, Ryu, Dart, Peissig, Linneman, Jarvik, Larson, Bock, Tromp, de Andrade, Roger","SJ, J, DS, PY, JE, NB, H, S, QS, JC, LJ, JA, KL, TG, RE, PA, NL, E, RA, P, JG, GP, EB, JA, GC, M, VL","Department of Health Sciences Research, Mayo Clinic, Rochester, MN, 55905, USA. bielinski.suzette@mayo.edu., Department of Health Sciences Research, Mayo Clinic, Rochester, MN, 55905, USA., Group Health Research Institute, Seattle, WA, 98101, USA., Department of Medicine, Division of Primary Care Internal Medicine, Mayo Clinic, Rochester, MN, 55905, USA., Department of Health Sciences Research, Mayo Clinic, Rochester, MN, 55905, USA., Department of Health Sciences Research, Mayo Clinic, Rochester, MN, 55905, USA., Department of Health Sciences Research, Mayo Clinic, Rochester, MN, 55905, USA., Department of Health Sciences Research, Mayo Clinic, Rochester, MN, 55905, USA., Department of Medicine, Vanderbilt University, Nashville, TN, 37232, USA., Departments of Biomedical Informatics and Medicine, Vanderbilt University, Nashville, TN, 37232, USA., Department of Preventive Medicine, Northwestern University Feinberg School of Medicine, Chicago, IL, 60611, USA., Center for Genetic Medicine, Northwestern University Feinberg School of Medicine, Chicago, IL, 60611, USA., Center for Healthcare Studies, Northwestern University Feinberg School of Medicine, Chicago, IL, 60611, USA., Department of Health Sciences Research, Mayo Clinic, Rochester, MN, 55905, USA., Department of Health Sciences Research, Mayo Clinic, Rochester, MN, 55905, USA., Department of Health Sciences Research, Mayo Clinic, Rochester, MN, 55905, USA., Division of Cardiovascular Diseases, Mayo Clinic Rochester, Rochester, MN, 55905, USA., Department of Health Sciences Research, Mayo Clinic, Rochester, MN, 55905, USA., Center for Human Genetics, Marshfield Clinic Research Foundation, Marshfield, WI, 54449, USA., Biomedical Informatics Research Center, Marshfield Clinic Research Foundation, Marshfield, WI, 54449, USA., Biomedical Informatics Research Center, Marshfield Clinic Research Foundation, Marshfield, WI, 54449, USA., Departments of Medicine (Medical Genetics) and Genome Sciences, University of Washington, Seattle, WA, 98195, USA., Group Health Research Institute, Seattle, WA, 98101, USA., The Sigfried and Janet Weis Center for Research, Geisinger Health System, Danville, PA, 17822, USA., The Sigfried and Janet Weis Center for Research, Geisinger Health System, Danville, PA, 17822, USA., Department of Health Sciences Research, Mayo Clinic, Rochester, MN, 55905, USA., Department of Health Sciences Research, Mayo Clinic, Rochester, MN, 55905, USA.",2015-11-01,J Cardiovasc Transl Res,Journal of cardiovascular translational research,UL1 TR000427,1
25545043,4485951,655642,,Spirituality and the recovery of quality of life following hematopoietic stem cell transplantation.,"Laura A Leeson, Ashley M Nelson, Paul J Rathouz, Mark B Juckett, Christopher L Coe, Elizabeth W Caes, Erin S Costanzo","Leeson, Nelson, Rathouz, Juckett, Coe, Caes, Costanzo","LA, AM, PJ, MB, CL, EW, ES","Department of Psychiatry, University of Wisconsin- Madison., Department of Psychology, University of South Florida., Carbone Cancer Center, University of Wisconsin-Madison and., Carbone Cancer Center, University of Wisconsin-Madison and., Department of Psychology, University of Wisconsin- Madison., Carbone Cancer Center, University of Wisconsin-Madison., Department of Psychiatry, University of Wisconsin- Madison.",2015-09-01,Health Psychol,"Health psychology : official journal of the Division of Health Psychology, American Psychological Association","UL1 TR000427, KL2 TR000428",1
24443642,3891738,386403,,Automation and adaptation: Nurses' problem-solving behavior following the implementation of bar coded medication administration technology.,"Richard J Holden, A Joy Rivera-Rodriguez, Héléne Faye, Matthew C Scanlon, Ben-Tzion Karsh","Holden, Rivera-Rodriguez, Faye, Scanlon, Karsh","RJ, AJ, H, MC, BT","Departments of Medicine and Biomedical Informatics, Vanderbilt University School of Medicine, Nashville, TN, US., Department of Industrial Engineering, Clemson University, Clemson, SC, US., Institut de Radioprotection et de Sûreté Nucléaire, Direction Sûreté des Réacteurs-Service d'Etude des Facteurs Humains, Fontenay-aux-Roses, France., Department of Pediatrics, Division of Critical Care, Medical College of Wisconsin, Wauwatosa, WI, USA., Departments of Industrial &amp; Systems Engineering, Family Medicine, Population Health Sciences, and Biomedical Engineering, University of Wisconsin-Madison, Madison, WI, US.",2013-08-01,Cogn Technol Work,"Cognition, technology &amp; work (Online)","UL1 TR000427, TL1 RR025013",1
24443930,4046348,,,Long acting contraception provision by rural primary care physicians.,"Britt Lunde, Paul Smith, Manpreet Grewal, Tara Kumaraswami, Allison Cowett, Bryna Harwood","Lunde, Smith, Grewal, Kumaraswami, Cowett, Harwood","B, P, M, T, A, B","1 Department of Obstetrics, Gynecology and Reproductive Science , The Icahn School of Medicine at Mount Sinai, New York, New York., , , , , ",2014-06-01,J Womens Health (Larchmt),Journal of women's health (2002),"UL1 RR025011, UL1 TR000427, 1UL1 RR025011",1
22896668,3469732,401136,,"Antitumor activity of Triolimus: a novel multidrug-loaded micelle containing Paclitaxel, Rapamycin, and 17-AAG.","Jason R Hasenstein, Ho-Chul Shin, Kelsey Kasmerchak, Darya Buehler, Glen S Kwon, Kevin R Kozak","Hasenstein, Shin, Kasmerchak, Buehler, Kwon, Kozak","JR, HC, K, D, GS, KR","University of Wisconsin--Madison, School of Medicine and Public Health, Department of Human Oncology, 1111 Highland Avenue, WIMR 3153, Madison, WI 53705, USA., , , , , ",2012-10-01,Mol. Cancer Ther.,Molecular cancer therapeutics,"KL2 RR025012, UL1 TR000427, UL1 RR025011",1
22475869,2901905,,,Nutritional Management of Phenylketonuria.,"Erin L Macleod, Denise M Ney","Macleod, Ney","EL, DM","Department of Nutritional Sciences, University of Wisconsin, Madison, Wisc., USA., ",2010-06-01,Ann Nestle Eng,Annales Nestle [English ed.],UL1 RR025011,1
28011591,5946811,,,Impact of Fall Prevention on Nurses and Care of Fall Risk Patients.,"Barbara King, Kristen Pecanac, Anna Krupp, Daniel Liebzeit, Jane Mahoney","King, Pecanac, Krupp, Liebzeit, Mahoney","B, K, A, D, J","School of Nursing, University of Wisconsin-Madison., School of Nursing, University of Wisconsin-Madison., School of Nursing, University of Wisconsin-Madison., School of Nursing, University of Wisconsin-Madison., Division of Geriatrics, School of Medicine and Public Health, University of Wisconsin-Madison.",2018-03-19,Gerontologist,The Gerontologist,UL1 TR000427,1
25157751,4035799,,,Therapeutic applications of mesenchymal stem   cells for amyotrophic lateral sclerosis.,"Christina M Lewis, Masatoshi Suzuki","Lewis, Suzuki","CM, M",", ",2014-01-01,Stem Cell Res Ther,Stem cell research &amp; therapy,"UL1 TR000427, UL1 RR025011, 1UL1RR025011, 9U54TR000021",1
26973982,4783460,764626,,Manifold-valued Dirichlet Processes.,"Hyunwoo J Kim, Jia Xu, Baba C Vemuri, Vikas Singh","Kim, Xu, Vemuri, Singh","HJ, J, BC, V","University of Wisconsin-Madison, Madison, WI 53706, USA., University of Wisconsin-Madison, Madison, WI 53706, USA., University of Florida, Gainesville, FL 32611, USA., University of Wisconsin-Madison, Madison, WI 53706, USA.",2015-07-01,Proc Int Conf Mach Learn,Proceedings of the ... International Conference on Machine Learning. International Conference on Machine Learning,"KL2 RR025012, UL1 TR000427, KL2 TR000428",1
